postal_code,country,state,area_description,territory_description
00501,USA,NY,Tri-State,Northeast
00544,USA,NY,Tri-State,Northeast
00601,USA,PR,Eastern Florida & Puerto Rico,Southeast
00602,USA,PR,Eastern Florida & Puerto Rico,Southeast
00603,USA,PR,Eastern Florida & Puerto Rico,Southeast
00604,USA,PR,Eastern Florida & Puerto Rico,Southeast
00605,USA,PR,Eastern Florida & Puerto Rico,Southeast
00606,USA,PR,Eastern Florida & Puerto Rico,Southeast
00607,USA,PR,Eastern Florida & Puerto Rico,Southeast
00608,USA,PR,Eastern Florida & Puerto Rico,Southeast
00610,USA,PR,Eastern Florida & Puerto Rico,Southeast
00611,USA,PR,Eastern Florida & Puerto Rico,Southeast
00612,USA,PR,Eastern Florida & Puerto Rico,Southeast
00613,USA,PR,Eastern Florida & Puerto Rico,Southeast
00614,USA,PR,Eastern Florida & Puerto Rico,Southeast
00615,USA,PR,Eastern Florida & Puerto Rico,Southeast
00616,USA,PR,Eastern Florida & Puerto Rico,Southeast
00617,USA,PR,Eastern Florida & Puerto Rico,Southeast
00618,USA,PR,Eastern Florida & Puerto Rico,Southeast
00619,USA,PR,Eastern Florida & Puerto Rico,Southeast
00620,USA,PR,Eastern Florida & Puerto Rico,Southeast
00622,USA,PR,Eastern Florida & Puerto Rico,Southeast
00623,USA,PR,Eastern Florida & Puerto Rico,Southeast
00624,USA,PR,Eastern Florida & Puerto Rico,Southeast
00625,USA,PR,Eastern Florida & Puerto Rico,Southeast
00626,USA,PR,Eastern Florida & Puerto Rico,Southeast
00627,USA,PR,Eastern Florida & Puerto Rico,Southeast
00628,USA,PR,Eastern Florida & Puerto Rico,Southeast
00629,USA,PR,Eastern Florida & Puerto Rico,Southeast
00630,USA,PR,Eastern Florida & Puerto Rico,Southeast
00631,USA,PR,Eastern Florida & Puerto Rico,Southeast
00632,USA,PR,Eastern Florida & Puerto Rico,Southeast
00633,USA,PR,Eastern Florida & Puerto Rico,Southeast
00635,USA,PR,Eastern Florida & Puerto Rico,Southeast
00636,USA,PR,Eastern Florida & Puerto Rico,Southeast
00637,USA,PR,Eastern Florida & Puerto Rico,Southeast
00638,USA,PR,Eastern Florida & Puerto Rico,Southeast
00639,USA,PR,Eastern Florida & Puerto Rico,Southeast
00640,USA,PR,Eastern Florida & Puerto Rico,Southeast
00641,USA,PR,Eastern Florida & Puerto Rico,Southeast
00642,USA,PR,Eastern Florida & Puerto Rico,Southeast
00643,USA,PR,Eastern Florida & Puerto Rico,Southeast
00644,USA,PR,Eastern Florida & Puerto Rico,Southeast
00645,USA,PR,Eastern Florida & Puerto Rico,Southeast
00646,USA,PR,Eastern Florida & Puerto Rico,Southeast
00647,USA,PR,Eastern Florida & Puerto Rico,Southeast
00648,USA,PR,Eastern Florida & Puerto Rico,Southeast
00649,USA,PR,Eastern Florida & Puerto Rico,Southeast
00650,USA,PR,Eastern Florida & Puerto Rico,Southeast
00652,USA,PR,Eastern Florida & Puerto Rico,Southeast
00653,USA,PR,Eastern Florida & Puerto Rico,Southeast
00654,USA,PR,Eastern Florida & Puerto Rico,Southeast
00655,USA,PR,Eastern Florida & Puerto Rico,Southeast
00656,USA,PR,Eastern Florida & Puerto Rico,Southeast
00657,USA,PR,Eastern Florida & Puerto Rico,Southeast
00658,USA,PR,Eastern Florida & Puerto Rico,Southeast
00659,USA,PR,Eastern Florida & Puerto Rico,Southeast
00660,USA,PR,Eastern Florida & Puerto Rico,Southeast
00661,USA,PR,Eastern Florida & Puerto Rico,Southeast
00662,USA,PR,Eastern Florida & Puerto Rico,Southeast
00663,USA,PR,Eastern Florida & Puerto Rico,Southeast
00664,USA,PR,Eastern Florida & Puerto Rico,Southeast
00665,USA,PR,Eastern Florida & Puerto Rico,Southeast
00666,USA,PR,Eastern Florida & Puerto Rico,Southeast
00667,USA,PR,Eastern Florida & Puerto Rico,Southeast
00669,USA,PR,Eastern Florida & Puerto Rico,Southeast
00670,USA,PR,Eastern Florida & Puerto Rico,Southeast
00671,USA,PR,Eastern Florida & Puerto Rico,Southeast
00672,USA,PR,Eastern Florida & Puerto Rico,Southeast
00673,USA,PR,Eastern Florida & Puerto Rico,Southeast
